term,definition,scales,occurrences
Permeate,To be diffused through; pervade; saturate.,The Scale Of Permeation,1
Persona,"A role, identity, or character a person assumes.",The Scale Of Spiritual Identity,1
Pervade,To extend throughout; spread through every part of.,The Scale Of Permeation,1
Perversion,"Any of various means of attaining sexual gratification that are widely regarded as being abnormal; a turning away from wha right, good, or proper.",The Scale Of Sexuality,1
Physical,"Of, pertaining to, or having to do with the body.",The Scale Of Physical Fitness,1
Pleasure,Enjoyment or satisfaction derived from what is to one's liking; gratification; delight.,The Scale Of Basic Purposes,1
Poise,"Self-possession and ease, especially in dealing with difficult situations.",The Scale Of Communication,1
Politics,Management of political affairs.,The Scale Of Politics,1
Poor,Lacking in capability; not up to expectations.,The Scale Of Scholarship,1
Power,Ability to do or act; capability of doing or accomplishing something; strength; might; force.,The Scale Of Permeation,1
Prepubescent,| Prior to arriving at the period or age at which a person is first capable of sexual reproduction.,The Scale Of Belief,1
Presence,The state of being in the specified time or place; attendance; close proximity.,The Scale Of Communication,1
Pretend,"Feign; to cause or attempt to cause (what is not so) to seem so; to appear falsely, so as to deceive.",The Scale Of Scholarship,1
Processing,"A systematic series of actions directed to the end of improving a recipient's ability, awareness, happiness, etc.",The Scale Of Allegiance,1
Professional,A person who works at an occupation that requires extensive education or special skill.,The Scale Of Human Ability,1
Promotion,"Encouragement, advancement, or dissemination of the benefits or advantages of.",The Scale Of Management,1
Protagonist,Person who takes a leading part; active supporter.,The Scale Of Politics,1
Protesting,"Expressing objection, disapproval, or dissent; remonstrating; complaining.",The Scale Of Reaction,1
Purpose,An intended or desired result; aim; goal; end.,The Scale Of Motivation,1
Radical,"A person who favors extreme changes or reforms, especially in politics.",The Scale Of Politics,1
Rational,In accord with reason; reasonable; sensible; sane; lucid; in full possession of one's reason.,The Scale Of Aberration,1
Re-experience,"To experience again; the process of observing, encountering, or undergoing as before.",The Scale Of Mental Deletion,1
Reaction,"A reverse movement or tendency; action in response to some influence, event, etc.; an action in opposition, as against some forc impetus; a response to a stimulus. Arminated, elected to impatience or angry feeling: vexed: gallec",The Scale Of Reaction,1
Reality,Something that exists independently of ideas concerning it; thing.,The Scale Of Justification,1
Reason,"The mental powers concerned with forming conclusions, judgements, or inferences.",The Scale Of Civilization,1
Record,A document that provides information for reference; the impression made by one's past.,The Scale Of Exchange,1
Recounting,A relation or narration in detail; description; telling about.,The Scale Of Mental Deletion,1
Regret,"A sense of sorrow about what one did in the past, usually wrongs committed or errors made.",The Scale Of Allegiance,1
Reject,"To refuse to have, take, act upon, etc.; to refuse to accept.",The Scale Of Thought,1
Religion,A specific and institutionalized set of beliefs and practices generally agreed upon by a number of persons or sects.,The Scale Of Civilization,1
Remorse,"Qualms of conscience, a sense of guilt, and repentance for sins committed, wrongs done, or duty not performed.",The Scale Of Allegiance,1
Repression,"The rejection from consciousness of painful or disagreeable ideas, memories, feelings, or impulses.",The Scale Of Memory,1
Republic,A state in which the supreme power rests in the body of citizens entitled to vote and is exercised by representatives chosen by th and the head of government is elected.,The Scale Of Government,1
Response,An answer or reply; a rejoinder.,The Scale Of Communication,1
Responsibility,Ability to respond or cause; ability to discharge obligations; accountability.,The Scale Of Motivation,1
Restraint,The act of holding back or under control; a keeping in check; repression.,The Scale Of Aberration,1
Retirement,"Removal or withdrawal from service, business, activity, or office.",The Scale Of Survival,1
Robotism,"The state of acting and responding in a mechanical, routine manner, like an automaton.",The Scale Of Choice,1
Saint,"A person of great holiness, virtue, or benevolence.",The Scale Of Basic Purposes,1
Sales,"Of, pertaining to, or engaged in selling; the activity of offering for sale, causing to be accepted, or inducing to buy.",The Scale Of Management,1
Sane,"Having a sound, healthy mind; having or showing reason, sound judgement, or good sense.",The Scale Of Sexuality,1
Scholar,A student; pupil; a learned or erudite person.,The Scale Of Scholarship,1
Scholarship,"The qualities, skills, and attainments of a scholar.",The Scale Of Scholarship,1
Scylla and Charybdis,"Two huge rocks in the Strait of Messina off the south coast of Italy, between which mariners of antiquity perilously sought to navigate without becoming shipwrecked on either; two equally perilous alternatives, neither of which can be passed without encountering and probably falling victim to the other.",The Scale Of Belief,1
Secret,"Something that is kept from the knowledge of others, or kept hidden or concealed.",The Scale Of Aberration,1
Secured,"Freed from or not exposed to danger; ensured; freed from care or concern. Obtaining; getting; acquiring; attaining; winning. Gaining Ground, idiom: Making progress; advancing: gaining approval or acceptance. Breaking even, idiom: Finishing a transaction, game, etc., with no loss or gain in money, prestige, etc.",The Scale Of Survival,1
Security,"Freedom from care, apprehension, doubt, or insecurity.",The Scale Of Equanimity,1
Self-sacrifice,"The surrender, giving up, or destruction of one's interests, desires, pleasures, etc., as for duty or the good of another. Incorrect; not proper or usual; bad; immoral; false; mistaken.",The Scale Of Allegiance,1
Selfishness,"The state of being devoted to or caring for oneself, concern with one's own interests.",The Scale Of Choice,1
Septemics,"Hierarchies of Human Phenomena: Analysis, Prediction and Management of Human Affairs You're viewing the eBook edition. A preview of the Hardcover edition is currently not available. Add to Bag (eBook - $9.99) nook for Web Introduction to Septemics",The Scale Of Basic Purposes,1
Sex,"The instinct or attraction drawing males and females toward one another, esp. with reference to their reproductive functions; sexual",The Scale Of Sexuality,1
Sexuality,"Recognition of, emphasis upon, or involvement in sexual activity.",The Scale Of Sexuality,1
Sick,Afflicted with ill health or disease; ill; ailing.,The Scale Of Physical Fitness,1
Similar,Having likeness or resemblance; corresponding in some aspect.,The Scale Of Mental Deletion,1
Skepticism,"Doubt; unbelief; the questioning of the truth, authenticity, or validity of something purporting to be factual.",The Scale Of Belief,1
Social,Living or disposed to live in companionship with others or in a community.,The Scale Of Basic Purposes,1
Social science,A science or field of study dealing with an aspect of society or forms of social activity.,The Scale Of Civilization,1
Socialism,"A theory or system of social organization that advocates the ownership and control of industry, capital, land, etc. by the commu as a whole.",The Scale Of Government,1
Sphere,A place or environment within which a person or thing exists; a field of something specified.,The Scale Of Life Spheres,1
Spirit,The incorporeal part of a human being; a soul; an incorporeal or spiritual being.,The Scale Of Spiritual Identity,1
Spiritual,Of or pertaining to the spirit as the seat of the moral or religious nature. | Of or pertaining to the spirit or its concerns as distinguished from worldly concerns.,The Scale Of Basic Purposes | The Scale Of Spiritual Identity,2
Spirituality,The quality or fact of being interested in or concerned with metaphysical or divine matters.,The Scale Of Civilization,1
Sporadic,Appearing in scattered or isolated instances; occasional.,The Scale Of Memory,1
Stability,Firmness in position; continuance without change; resistance to change; reliability.,The Scale Of Survival,1
Stalemate,Any position or situation in which no action can be taken; deadlock.,The Scale Of Conflict,1
State,"The condition of a person or thing with respect to circumstances, qualities, etc.",The Scale Of Attack,1
Status,The position of an individual in relation to another or others; the standing of a person.,The Scale Of Motivation,1
Stop,"To cease from, leave off, or discontinue; to cause to cease; put an end to; to interrupt, arrest or check; to cut off, intercept, or withhold; to restrain, hinder, or prevent.",The Scale Of Stopping,1
Strong,Physically vigorous and robust; able to exert great bodily power.,The Scale Of Physical Fitness,1
Student,"A person formally engaged in learning; any person who studies, investigates, or carefully examines a subject; a pupil.",The Scale Of Scholarship,1
Subjugated,Brought under complete control or subjection; conquered; mastered; overpowered.,The Scale Of Justification,1
Sublimation,Diversion of the energy of an impulse from its immediate goal to a higher one.,The Scale Of Sexuality,1
Subvert,"To cause the downfall, ruin or destruction of; to overthrow.",The Scale Of Basic Purposes,1
Succeed,To happen or terminate according to desire; have the desired result; to thrive or prosper.,The Scale Of Life Spheres,1
Success,The favorable or prosperous termination of attempts or endeavors. | The favorable or prosperous termination of attempts or endeavors; the attainment of a favorable position or condition.,The Scale Of Conflict | The Scale Of Permeation,2
Successful,Achieving or having achieved a favorable termination of attempts or endeavors.,The Scale Of Stopping,1
Succumb,To give way to superior force; yield.,The Scale Of Permeation,1
Succumbing,Yielding; giving way; failing.,The Scale Of Physical Fitness,1
Suffer,"To undergo, be subjected to, or endure pain, distress, injury or anything unpleasant.",The Scale Of Basic Purposes,1
Suicidal,"Tending or leading to destruction of one's own interests or prospects, or the intentional taking of one's own life.",The Scale Of Attack,1
Superhuman,"Exceeding ordinary human power, achievement, experience, limitations, etc.",The Scale Of Physical Fitness,1
Suppressive,"Holding down or tending to hold down; seeking to abolish, do away with, or stop.",The Scale Of Stopping,1
Survival,The act or fact of remaining alive or continuing in existence; endurance.,The Scale Of Physical Fitness,1
Survive,"To remain alive; continue to live; to remain or continue in existence or use,",The Scale Of Survival,1
Suspicion,"The belief that one has detected possibilities of something unreliable, unfavorable, dangerous, or menacing.",The Scale Of Aberration,1
Take,Receive and accept willingly.,The Scale Of Sexuality,1
Talent,\ special natural ability or aptitude; ability,The Scale Of Scholarship,1
Telepathy,Communication between minds by some means other than sensory perception.,The Scale Of Personal Influence,1
Tepid,Lukewarm; showing little enthusiasm.,The Scale Of Politics,1
Termination,"Bringing to an end; putting an end to; conclusion; cessation. Recognizing the truth, existence, or fact of; expressing appreciation; showing recognition.",The Scale Of Communication,1
There,In or at that place; at that point in an activity.,The Scale Of Communication,1
Thought,"Mental activity; idea or notion; the capacity or faculty of thinking, reasoning, or imagining.",The Scale Of Thought,1
Tolerance,Forbearance; a fair and objective attitude toward opinions and practices that differ from one's own.,The Scale Of Control,1
Transcend,To rise above or go beyond the limits of; overpass; exceed.,The Scale Of Basic Purposes,1
Transfer,"Convey or remove from one place, person, etc., to another; cause to pass to another.",The Scale Of Exchange,1
Transgression,"Violation or breaking of a law, rule, moral code, or command; sin.",The Scale Of Aberration,1
Trust,"Belief in and reliance on the integrity, strength, ability, surety, etc., of a person or thing.",The Scale Of Government,1
Truth,"Conformity with fact or reality; verity; actuality; accuracy; ideal or fundamental reality, apart from and transcending perceived | True or actual state of a matter; actuality; verity; conformity with fact; veracity.",The Scale Of Justification | The Scale Of Memory,2
Unable,"Lacking the necessary power, competence, etc. to accomplish some specified act.",The Scale Of Permeation,1
Unanimity,A consensus or undivided opinion; complete accord; unanimousness.,The Scale Of Evaluation,1
Understanding,The mental process of a person who comprehends; comprehension; intelligence; a state of cooperative or mutually tolerant relations,The Scale Of Relationships,1
Unhealthy,Not in a state of good health; sickly; frail.,The Scale Of Physical Fitness,1
Unique,Existing as the only one or as the sole example; having no like or equal; incomparable.,The Scale Of Human Ability,1
Unity,The state of being a complete or harmonious combination of elements; oneness.,The Scale Of Relationships,1
Vendetta,"Any prolonged and bitter feud, rivalry, contention, etc.",The Scale Of Permeation,1
Vibrant,Pulsating with great vigor and energy.,The Scale Of Physical Fitness,1
Victorious,Which achieved a success or triumph over an enemy; which achieved the decisive defeat of an opponent in a contest of any kind,The Scale Of Conflict,1
Viewpoint,"An attitude of mind, or the circumstances of an individual that conduce to such an attitude.",The Scale Of Choice,1
Virtuoso,A person who has special knowledge or skill; a proponent of great merit or excellence.,The Scale Of Human Ability,1
War,Any fighting or struggle; strife; conflict.,The Scale Of Politics,1
Weak,Not strong; lacking in vigor or ability; fragile; liable to yield under moderate strain.,The Scale Of Physical Fitness,1
Wealth,Anything that has value.,The Scale Of Basic Purposes,1
Well,In a good or satisfactory manner; in a careful or thorough manner.,The Scale Of Scholarship,1
Will,The act or process of using or asserting one's choice; volition. Che special quality that gives an individual intuence or authority over large numbers of people. | Volition; intention; the act or process of using or asserting one's choice. Making up one's mind; determining; concluding; resolving.,The Scale Of Mental Deletion | The Scale Of Personal Influence,2
Willing,Disposed or consenting; inclined. | Disposed or consenting; inclined; cheerfully consenting or ready.,The Scale Of Permeation | The Scale Of Scholarship,2
Wily-Nilly,Willing or unwilling.,The Scale Of Allegiance,1
Wisdom,"Knowledge of what is true or right, coupled with good judgement; sagacity.",The Scale Of Equanimity,1
Word,"Warrant, assurance, or promise; pledge.",The Scale Of Exchange,1
Worried,"Feeling uneasy or anxious; troubled; feeling anxiety, apprehension, or concern.",The Scale Of Reaction,1
